date,symbol,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,ema8,ema21,ema50,bb_upper,bb_middle,bb_lower,adx,atr
2024-03-05,PLTR,23.959999084472656,24.409000396728516,23.43000030517578,23.809999465942383,49542300,,,,,,,,,,,,
2024-03-06,PLTR,25.75,26.75,24.530000686645508,26.15999984741211,207386900,100.0,,,,,,,,,,,
2024-03-07,PLTR,27.010000228881836,27.5,26.3799991607666,26.459999084472656,117519300,100.0,,,,,,,,,,,
2024-03-08,PLTR,27.190000534057617,27.280000686645508,25.809999465942383,26.040000915527344,84256100,98.55504043756459,,,,,,,,,,,
2024-03-11,PLTR,25.889999389648438,26.829999923706055,25.290000915527344,25.350000381469727,60829300,96.09830641319968,,,,,,,,,,,
2024-03-12,PLTR,25.56999969482422,25.639999389648438,24.350000381469727,24.700000762939453,75202600,93.72803983416675,,,,,,,,,,,
2024-03-13,PLTR,24.700000762939453,25.440000534057617,24.600000381469727,25.0,59713000,93.80399977464474,,,,,,,,,,,
2024-03-14,PLTR,24.829999923706055,24.969999313354492,24.139999389648438,24.43000030517578,49214800,91.53564629061958,,,,25.24375009536743,,,,,,,
2024-03-15,PLTR,23.850000381469727,24.100000381469727,23.420000076293945,23.489999771118164,61421000,87.76638913874598,,,,24.854027801089817,,,,,,,
2024-03-18,PLTR,23.770000457763672,24.18000030517578,23.31999969482422,24.0,44083000,88.05381232700526,,,,24.66424384529208,,,,,,,
2024-03-19,PLTR,23.5,23.829999923706055,22.920000076293945,23.799999237060547,43247200,87.18869840767164,,,,24.472189487907293,,,,,,,
2024-03-20,PLTR,23.770000457763672,24.649999618530273,23.670000076293945,24.56999969482422,40273800,87.69014211924863,,,,24.49392508944439,,,,,,,
2024-03-21,PLTR,25.299999237060547,25.329999923706055,24.440000534057617,24.489999771118164,37099600,87.30778850933166,,,,24.493052796483006,,,,,,,
2024-03-22,PLTR,24.200000762939453,24.475000381469727,24.020000457763672,24.18000030517578,25453000,85.74754575035718,,,,24.423485576192512,,,,,,70.06539617629656,1.1820714133126395
2024-03-25,PLTR,24.1200008392334,24.6200008392334,24.049999237060547,24.510000228881836,29255900,86.03367283926113,,,,24.44271105456792,,,,,,70.08398724420992,1.138352141088369
2024-03-26,PLTR,24.760000228881836,25.469999313354492,24.469999313354492,24.889999389648438,43610500,86.37292715381702,,,,24.54210846236359,,,,,,70.2115408662629,1.1284698452963426
2024-03-27,PLTR,25.0,25.479999542236328,24.260000228881836,24.510000228881836,38600100,84.17106229577838,,,,24.534973299367646,,,,,,70.16234675226808,1.1350076644433533
2024-03-28,PLTR,24.170000076293945,24.280000686645508,22.940000534057617,23.010000228881836,70008200,75.94135021349973,,,,24.196090394815243,,,,,,69.0920925316939,1.1660785237562723
2024-04-01,PLTR,22.979999542236328,23.209999084472656,22.399999618530273,22.860000610351562,41000000,75.15006189429106,,,,23.899181553823315,,,,,,67.69994145827728,1.1406443053409945
2024-04-02,PLTR,22.0,22.790000915527344,21.719999313354492,22.719999313354492,39770600,74.37115143858135,,,,23.637141055941353,,,26.52686228530731,24.44899997711181,22.37113766891631,65.9106422421916,1.1405983761735714
2024-04-03,PLTR,22.440000534057617,23.010000228881836,22.3799991607666,22.700000762939453,30357400,74.25275955474412,,,,23.428887657496485,24.365714300246466,,26.598625776914094,24.393500041961666,22.188374307009237,64.3144203443978,1.1041271398836903
2024-04-04,PLTR,23.81999969482422,24.100000381469727,22.399999618530273,22.479999542236328,64995300,72.87831568271235,,,,23.218023631883117,24.19428568588191,,26.408116584330262,24.20950002670288,22.010883469075498,63.148073584309316,1.1466895415305305
2024-04-05,PLTR,22.420000076293945,23.31999969482422,22.30699920654297,22.959999084472656,38716800,74.00874166903068,,,,23.16068484356968,24.082077813026523,,26.026330802706106,24.03450002670288,22.042669250699653,61.98947926627498,1.1371403234412962
2024-04-08,PLTR,23.079999923706055,23.200000762939453,22.670000076293945,23.0,25022700,74.1056018083865,,,,23.124977100554194,23.98370710275138,,25.68490643972786,23.88249998092651,22.08009352212516,60.91364168524309,1.0937732065273114
2024-04-09,PLTR,23.010000228881836,23.086999893188477,22.459999084472656,22.809999465942383,27643300,72.71936497211982,,,,23.05498207064046,23.87700640849602,,25.478734204556286,23.755499935150144,22.032265665744003,59.721801098436984,1.0604323209693478
2024-04-10,PLTR,22.219999313354492,22.709999084472656,22.010000228881836,22.420000076293945,28642900,69.83178941789753,-0.8835192294402034,,,22.913874960785677,23.744551287386738,,25.402890233972467,23.64149990081787,21.880109567663272,58.196008960255405,1.041829957833005
2024-04-11,PLTR,22.649999618530273,22.90999984741211,22.25,22.84000015258789,26399400,71.15994656832557,-0.8442708016577534,,,22.897458336741725,23.662319366041388,,25.206848578321917,23.53349990844726,21.860151238572605,56.863290864992386,1.0145563785172267
2024-04-12,PLTR,22.700000762939453,23.200000762939453,22.40999984741211,22.670000076293945,36764500,69.82007050908452,-0.8174605489210727,,,22.846912056642218,23.572108521518892,,25.105398046740063,23.44549989700317,21.785601747266277,55.750836976769385,0.998516702589378
2024-04-15,PLTR,22.790000915527344,23.1299991607666,21.829999923706055,21.899999618530273,38182100,63.94686964569965,-0.8485641133629862,,,22.63648707039512,23.4200986212472,,25.163523315373062,23.36599988937378,21.568476463374495,54.12530907490959,1.0200511693373187
2024-04-16,PLTR,21.59000015258789,21.989999771118164,21.270000457763672,21.8799991607666,33869200,63.796753713687956,-0.864858234689077,,,22.468378646033226,23.280089579385326,,25.147867012986527,23.259999847412107,21.372132681837687,52.06932126134205,0.9986188939099739
2024-04-17,PLTR,22.010000228881836,22.110000610351562,21.219999313354492,21.309999465942383,30139800,59.509187049732496,-0.9132384109882139,,,22.210961050457485,23.10099047816324,,25.19411967086922,23.135499858856203,21.076880046843186,50.23006877516567,0.9908604941304808
2024-04-18,PLTR,21.25,21.43000030517578,20.700000762939453,21.1299991607666,34550500,58.179451649854116,-0.9550948308834606,,,21.970747297192844,22.921809449309,,25.09114552171079,22.96349983215332,20.835854142595853,48.00223775650743,0.9722275689951843
2024-04-19,PLTR,20.979999542236328,21.43000030517578,20.329999923706055,20.469999313354492,39632600,53.46225717742872,-1.0296536111546786,,,21.637247745228766,22.69891761876768,,25.037396426740713,22.762499809265137,20.48760319178956,45.573948059740175,0.9813541984576516
2024-04-22,PLTR,20.719999313354492,21.079999923706055,20.360000610351562,20.969999313354492,31894500,56.3496928268293,-1.0364486257699674,-0.9103453785408236,-0.1261032472291438,21.48897031592337,22.54174322736648,,24.908536443445332,22.601999759674072,20.295463075902813,43.319107627027726,0.9626859923788545
2024-04-23,PLTR,21.25,22.059999465942383,21.229999542236328,21.639999389648438,36304600,59.9367834185774,-0.9765136752853358,-0.9235790378897262,-0.05293463739560966,21.52253233230672,22.45976651484666,,24.617625426740766,22.458499717712403,20.29937400868404,41.93153007390294,0.9717798609652143
2024-04-24,PLTR,22.049999237060547,22.25,21.299999237060547,21.59000015258789,34426500,59.54353870706334,-0.92241627515223,-0.923346485342227,0.0009302101899969495,21.53752518125809,22.380696845550407,,24.1539617399039,22.293499755859372,20.433037771814845,40.770502988509705,0.9702242111062314
2024-04-25,PLTR,20.81999969482422,21.739999771118164,20.65999984741211,21.709999084472656,26226700,60.218149256673954,-0.859947841448566,-0.9106667565634948,0.050718915114928875,21.57585271530577,22.319724321816064,,23.707906855082953,22.153499698638914,20.599092542194875,38.988856872096136,0.9780653334347902
2024-04-26,PLTR,22.049999237060547,22.670000076293945,21.90999984741211,22.520000457763672,33119800,64.51899800830643,-0.7365898668432926,-0.8758513786194544,0.13926151177616175,21.78566332474086,22.337931243265846,,23.64144543228397,22.128999710083008,20.616553987882046,37.99130280972019,0.9767750233195401
2024-04-29,PLTR,22.75,23.09000015258789,22.545000076293945,22.829999923706055,30104900,66.03253218706698,-0.6068183923982531,-0.8220447813752142,0.2152263889769611,22.017738124510903,22.3826647596695,,23.636949298599728,22.127499675750734,20.61805005290174,37.33519860627871,0.9477196427127315
2024-04-30,PLTR,22.770000457763672,22.8700008392334,21.950000762939453,21.969999313354492,30511900,58.5683559159012,-0.5668343127625377,-0.771002687652679,0.20416837489014128,22.00712949980948,22.345149719095406,,23.574530920016745,22.089999675750732,20.60546843148472,36.06840037090473,0.9457396736828182
2024-05-01,PLTR,21.93000030517578,22.829999923706055,21.6299991607666,22.1200008392334,34665900,59.42977201544661,-0.5170821706671482,-0.7202185842555728,0.2031364135884246,22.032212019681463,22.32468163910795,,23.51775783744263,22.06099967956543,20.60424152168823,34.55251321831489,0.9639011800582922
2024-05-02,PLTR,22.600000381469727,22.71500015258789,22.100000381469727,22.549999237060547,30396100,61.87673155373187,-0.43790803135643586,-0.6637564736757455,0.22584844231930967,22.147275845765705,22.345165057103642,,23.525825684671048,22.06449966430664,20.603173643942235,33.14490371948147,0.938979650848283
